kata_baku,vocabulary
pelit,pelitpeilit
mahasiswa,mhs
bagus,joz
bagus,jos
bagus,joss
malas,males
sulit, susahsusah
aku,aaaku
alat,aalat
amin,aamiin
anak,aanak
sabar,abar
bagus,abiiss
bagus,abis
bagus,abiz
setuju,acc
pendingin udara,acnya
acuh,acu
acuh,acuh
ada,ad
ada,ada
humor,adahumornya
sediakan,adakan
adaptasi,adap
adaptasi,adaptasi
adik,adik
saja,adja
dan,adn
brengsek,aelole
semangat,aemangat
maaf,afan
agak,aga
agak,agak
agama,agam
agar,agat
agar,agr
agar,agra
bagus,agus
bagus,agussss
hanya,ahanya
harap,aharap
algoritma pemrograman,aipro
saja,aja
saja,ajah
ajar,ajarin
ajak,ajax
kadang,akadang
akademik,akademika
pakai,akai
kasih,akasih
akhir,akhir2
akibat,akibt
kami,akmi
akrab,akrap
akreditasi,akreditasnya
aktif,aktid
atau,alau
lebih,alebih
algoritma,algoretma
algoritma,algoritmanya
alhamdulilah,alhamdulillah
alhamdulilah,alhamdullillah
alhamdulilah,alhamlillah
aljabar linear,alin
nilai,allahnilai
allah,allahu
alhamdulilah,allhamdulillah
allah,alloh
algoritma pemrograman,alpro
selalu,always
sama,am
sama,ama
mahasiswa,amahasiswa
luar biasa,amasing
luar biasa,amazing
luar biasa,amazingjoss
manfaat,amfaat
amin,amieen
amin,amien
amin,amiin
amin,amin
amin,aminn
amin,aminnn
ampun,ampyuuuun
materi,amteri
mahasiswa,anak
mahasiswa,anak2
dan,and
handal,andal
angkatan lama,angkatantua
lanjut,anjutkan
namun,anmun
hanya,anya
banyak,anyak
bapak,apabapak
apakah,apada
apalagi,apalgi
lapangan,apangan
capek,apek
bagus,apik
apalagi,aplagi
unggah,apload
harap,arap
terima kasih,arigato
asal,asai
asisten dosen,asdos
menarik,asemenarik
kasih,asi
kasih,asih
asyik,asik
brengsek,asololy
asyik,asyick
asyik,asyik
asyik,asyin
audien,audience
audien,audiens
luar biasa,awesome
ayo,ayom
ayo,ayoo
cantik,ayu
kembali,back
jelek,bad
saja,bae
baik,baeik
baik,baek
ibarat,bagai
bagaimana,bagaiman
bagaimana,bagaimana
bagian,bagian2
bagi,bagiin
bagi,bagikab
bagus,bagus2
bagus,baguskarena
bagus,baguuus
bahagia,bahagiagia
bahan,bahak
bahan,baham
bahan,bahan
bahan,bahana
bahkan,bahlan
baik,bai
baik,baikin
lanjut,baiklanjutkan
baik,bail
ibarat,bak
balas,bales
balik,balikin
banyak,banayak
banyak,banayk
sangat,banget
banyak,banyak2
banyak,banyakin
kesempatan,banyakkesempatan
tampil,banyakmenampilkan
banyak,baoaknya
bapak,bapaknya11
bapak,bapaknyya
bapak,bapakzahrul
bapak,bapk
terima kasih,barakailah
terima kasih,barakallah
sama,bareng
dasar,basic
batal,batalin
bagus,baus
bawa,bawain
banyak,bayak
bayar,bayarane
bisa,bbisa
pesan instan,bbm
beberapa,bbrp
cantik,beautiful
canda,becandaan
canda,becandanya
karena,because
begitu,beitu
belajar,belajat
belajar,belajr
belajar,belajrnya
belajar,belarjar
belum,belim
beliau,beliu
berat,berac
berbeda,berbeda2
rumit,berbeit
eksplorasi,berekplorasi
variasi,berfariasi
berguna,berguba
berhubungan,berhub
contoh,berikancontoh
bertitahu,beritahu
beritahu,beritahukan
berkarakter,berkarakater
berkembang,berkmbang
bermanfaat,bermanfat
berangkat,bernat
berangkat,berngkat
berlangsung,berrlansung
bertele-tele,bertelatele
terima kasih,berterimakasih
besar,besarin
besok,besok2
terbaik,best
besok,besuk
bosan,bete
lebih baik,better
sayang,beybeh
begitu,bgt
bahkan,bhkan
bahasa,bhs
bahwa,bhw
biar,bia
agar tidak,biargak
biasa,bias
biasa,biasaaa
biasa,biasaaaaaaaaa
bidang,bidanf
membuat,bikin
bimbing,bimbingan2
bingung,binggung
sangat,bingit
bisa,bis
bismillah,bismilah
bismillah,bismillahirohmanirohim
